feature,f_score
A9,431.1773984820496
A6,422.2411933298837
A5,398.8836451065098
A7,393.8526204272306
A4,360.68601099986
A1,297.6151232264358
Qchat_10_Score,296.9378067962713
A2,292.55922708738865
Sex,286.1232944121145
A8,272.3405296512463
A3,249.2245177173818
Global developmental delay/intellectual disability,150.48678459608138
Depression,148.7565111207951
Social/Behavioural Issues,147.23691281749942
Speech Delay/Language Disorder,147.0398456565882
Anxiety_disorder,144.23163389160828
Learning disorder,137.78551817233162
Genetic_Disorders,129.98171001727943
Social_Responsiveness_Scale,112.99163946054209
Family_mem_with_ASD,100.0700082218442
